headline,polarity_score
"Djokovic, Sinner and Alcaraz win Shanghai openers",0.8
'I'm more impressed with Draper now' - reaction after Briton falls to Sinner in gruelling semi-final,0.75
Sinner beats Tiafoe to win Cincinnati Open title,0.4
Sinner makes light work of Eubanks in Paris opener,0.4
'I couldn't have played better' - Sinner wins first ATP Finals title,0.35
Rublev too good for Sinner at Canadian Open,0.35
Miami Open: Jannik Sinner beats Grigor Dimitrov in straight sets to win men's title,0.333333333
Sinner wins Finals opener after Fritz beats irate Medvedev,0.3
Djokovic denied 100th title as Sinner wins in Shanghai,0.3
Watch Wimbledon day one: Sinner wins in four sets,0.3
Sinner wins first title as world number one,0.275
Indian Wells: Carlos Alcaraz ends Jannik Sinner's winning run to set up Daniil Medvedev final,0.25
Sinner cleared after testing positive twice for banned substance,0.227272727
Australian Open 2024: Jannik Sinner 'dances in pressure storm' to win first major,0.2225
Sinner storms past Fritz to win first US Open title,0.2
Alcaraz v Sinner 'the match everybody wants to watch',0.2
Australian Open 2024: Jannik Sinner's rise from promising skier to Grand Slam finalist,0.175
'New chapter' for world number one Sinner,0.136363636
Indian Wells Semi-final LIVE: Jannik Sinner vs Carlos Alcaraz radio commentary,0.136363636
Sinner wins epic Italian showdown against Berrettini,0.133333333
Australian Open men's final 2024: Daniil Medvedev confident of beating Jannik Sinner,0.125
Sinner 'surprised' as Wada launches doping appeal,0.1
'This means so much' - relive how Sinner won US Open,0.1
Sinner savours US Open win after 'difficult' build-up,0.1
French Open: Sinner beats Gasquet in straight sets - follow live,0.084090909
Sinner and Alcaraz overcome early wobbles at US Open,0.05
"Australian Open men's final 2024 LIVE: Jannik Sinner beats Daniil Medvedev - radio, text & updates",0.034090909
Sinner sets up Fritz title decider at ATP Finals,0
Sinner and Fritz progress at ATP Finals,0
'Sinnermania' continues in Italy despite doping controversy,0
Sinner beats Fritz after Medvedev defeats De Minaur,0
Can Sinner end eventful year with a title? ATP Finals lowdown,0
What happens next in Sinner doping case?,0
Djokovic overcomes 'issues' to set up Sinner final,0
Alcaraz sees off Medvedev to set up Sinner final,0
Will cloud hang over Sinner's US Open victory?,0
Listen: French Open - Sinner beats Moutet to reach quarter-finals,0
Watch Wimbledon: Sinner beats Berrettini in Centre Court duel,0
Sinner and Fritz bid to make history in US Open final,0
How does Draper beat world number one Sinner?,0
Sinner beats Medvedev to set up Draper semi-final,0
Sinner beats Paul to set up Medvedev quarter-final,0
Sinner & Medvedev avoid same fate as rivals at US Open,0
Sinner parts with physio & fitness coach after investigation,0
Sinner beats Zverev to reach Cincinnati Open final,0
Sinner out of Olympics with tonsillitis,0
I'm not at level of Alcaraz or Sinner - Djokovic,0
Alcaraz recovers to beat Sinner & reach Paris final against Zverev,0
Alcaraz beats Tsitsipas to set up Sinner semi-final,0
Home hope Sinner withdraws from Italian Open,0
Miami Open: Jannik Sinner reaches final against Grigor Dimitrov,0
Miami Open: Jannik Sinner beats Tomas Machac to reach semi-finals,0
"Miami Open: Carlos Alcaraz, Jannik Sinner & Daniil Medvedev reach quarter-finals",0
Rotterdam Open: Jannik Sinner beats Alex de Minaur to rise to third in world,0
Australian Open men's final 2024: Jannik Sinner beats Daniil Medvedev in Melbourne final,0
Sinner 'worn down physically and mentally' by investigation,-0.085185185
"Australian Open 2024 results: Novak Djokovic loses to Jannik Sinner, Daniil Medvedev beats Alexander Zverev",-0.1
Wimbledon: Sinner dominates Kecmanovic to reach fourth round,-0.1
Alcaraz beats Sinner in dramatic China Open final,-0.144444444
Sick Draper loses to Sinner in dramatic US Open semi-final,-0.361904762
Alcaraz and Sinner survive tough tests in Shanghai,-0.388888889
