tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-580,Australian Open,Hard,128,G,20190114,226,104925,1,,Novak Djokovic,R,188,SRB,31.6,104745,2,,Rafael Nadal,L,185,ESP,32.6,6-3 6-2 6-3,5,F,124,8,0,69,50,40,16,13,1,1,3,2,73,47,24,16,13,3,8,1,9135,2,7480
2019-580,Australian Open,Hard,128,G,20190114,217,126774,14,,Stefanos Tsitsipas,R,193,GRE,20.4,103819,3,,Roger Federer,R,185,SUI,37.4,6-7(11) 7-6(3) 7-5 7-6(5),5,R16,225,20,1,188,112,87,49,24,12,12,12,0,156,105,83,31,24,2,3,15,2095,3,6420
2019-580,Australian Open,Hard,128,G,20190114,214,105683,16,,Milos Raonic,R,196,CAN,28,100644,4,,Alexander Zverev,R,198,GER,21.7,6-1 6-1 7-6(5),5,R16,119,15,1,78,54,43,13,13,0,1,6,10,90,56,38,12,13,14,20,17,1900,4,6385
2019-580,Australian Open,Hard,128,G,20190114,188,126207,,,Frances Tiafoe,R,188,USA,20.9,104731,5,,Kevin Anderson,R,203,RSA,32.6,4-6 6-4 6-4 7-5,5,R64,179,10,2,114,80,64,19,21,4,6,13,4,134,87,64,23,21,10,14,39,1080,6,4810
2019-580,Australian Open,Hard,128,G,20190114,216,105138,22,,Roberto Bautista Agut,R,183,ESP,30.7,105227,6,,Marin Cilic,R,198,CRO,30.2,6-7(6) 6-3 6-2 4-6 6-4,5,R16,238,10,3,154,106,74,33,25,3,5,17,6,167,102,77,28,24,8,13,24,1605,7,4160
2019-580,Australian Open,Hard,128,G,20190114,179,200615,,WC,Alexei Popyrin,R,196,AUS,19.4,106233,7,,Dominic Thiem,R,185,AUT,25.3,7-5 6-4 2-0 RET,5,R64,104,13,3,87,53,40,22,12,5,5,1,2,82,63,41,8,12,7,10,149,360,8,4095
2019-580,Australian Open,Hard,128,G,20190114,220,104925,1,,Novak Djokovic,R,188,SRB,31.6,105453,8,,Kei Nishikori,R,178,JPN,29,6-1 4-1 RET,5,QF,52,2,1,29,20,17,8,6,0,0,0,3,47,33,16,5,6,0,4,1,9135,9,3750
2019-580,Australian Open,Hard,128,G,20190114,155,124187,,,Reilly Opelka,R,211,USA,21.3,104545,9,,John Isner,R,208,USA,33.7,7-6(4) 7-6(6) 6-7(4) 7-6(5),5,R128,178,40,6,151,87,74,42,24,1,2,47,2,138,107,93,19,24,2,3,97,593,10,3155
2019-580,Australian Open,Hard,128,G,20190114,205,105138,22,,Roberto Bautista Agut,R,183,ESP,30.7,111575,10,,Karen Khachanov,R,198,RUS,22.6,6-4 7-5 6-4,5,R32,128,5,2,86,56,46,15,16,0,2,8,5,100,52,34,22,16,9,14,24,1605,11,2835
2019-580,Australian Open,Hard,128,G,20190114,215,106298,28,,Lucas Pouille,R,185,FRA,24.8,106432,11,,Borna Coric,R,188,CRO,22.1,6-7(4) 6-4 7-5 7-6(2),5,R16,195,19,2,135,88,73,26,23,4,6,24,5,155,120,90,12,23,8,12,31,1245,12,2435
